label	scope	bin_size	n_bins	pearson	spearman	normalized_mae	normalized_rmse	alphagenome_mean	external_mean
selected_dimelo_regions_128bp	all	128	46800	0.9479758866524847	0.6385177906120973	0.01991547428005999	0.04900143345939463	222.71370951856304	1.758170019286785
selected_dimelo_regions_128bp	chr11	128	11700	0.9428706014773044	0.6100173831191651	0.019396847165148546	0.04841071133063046	211.28918402777776	1.6531662888873646
selected_dimelo_regions_128bp	chr16	128	11700	0.9554767996292777	0.6070084606985737	0.019403274182127048	0.04640934637135771	220.8574248798077	1.757816658207963
selected_dimelo_regions_128bp	chr17	128	11700	0.9545320006306688	0.6672596023194963	0.018740073790549653	0.046301021062921235	228.59551816239318	1.794601964336702
selected_dimelo_regions_128bp	chr19	128	11700	0.9392421676192488	0.6650065990325605	0.02214362396566012	0.05464130723480965	230.1127110042735	1.8270951657151107
selected_dimelo_regions_200bp	all	200	30000	0.949902309828638	0.6488610320432457	0.019599698674722645	0.04859103601887407	222.64320175	1.7575450332003617
selected_dimelo_regions_200bp	chr11	200	7500	0.944997034074949	0.6224985907424411	0.01903681946171529	0.04785891747044455	211.3700813333333	1.6537461237795252
selected_dimelo_regions_200bp	chr16	200	7500	0.9575845709345877	0.619246026367643	0.018916977783949584	0.04550275587551736	220.72182299999997	1.7564361786559297
selected_dimelo_regions_200bp	chr17	200	7500	0.9555728946632079	0.6772434624740419	0.018639018581872502	0.04648133582095546	228.52175200000002	1.7939098926554498
selected_dimelo_regions_200bp	chr19	200	7500	0.9416728103144976	0.6720942101965166	0.02193701530456865	0.05436280855014025	229.95915066666666	1.826087937710541
