row_idx	read_id	chrom	alignment_start	alignment_end	read_length	is_reverse	mapq	region_id	region_name	split	sample	sample_id
0	6716f742-d9ed-4c16-a260-4f069a33b9eb	chr16	674356	701614	27315	True	60	2	chr16_rank3_score4.722_reads400	train	merged_e5b	0
1	e7a44f2d-9ad8-4eb8-b79c-ec8da25c3341	chr16	674741	701250	26300	False	60	2	chr16_rank3_score4.722_reads400	train	merged_e5b	0
2	f6c83e53-c0cf-4180-ae10-26e836acb56f	chr16	679849	707023	27554	False	60	2	chr16_rank3_score4.722_reads400	train	merged_e5b	0
3	e22751ea-29f9-4297-a203-677e938735cd	chr16	682840	713944	31187	True	60	2	chr16_rank3_score4.722_reads400	train	merged_e5b	0
4	748c13c1-10a4-46ad-88b5-09473b191715	chr16	683703	701349	17721	True	60	2	chr16_rank3_score4.722_reads400	train	merged_e5b	0
5	9d5b0422-b49e-49ca-8edb-33b946eeb1e0	chr16	683737	706221	22438	True	60	2	chr16_rank3_score4.722_reads400	train	merged_e5b	0
6	fe0a1c50-1da7-45be-a830-87a6a528053f	chr16	685110	707223	22202	True	60	2	chr16_rank3_score4.722_reads400	train	merged_e5b	0
7	6026de23-63a5-47ac-b31e-cf8a7860645e	chr16	685492	700547	15129	False	60	2	chr16_rank3_score4.722_reads400	train	merged_e5b	0
8	da69137b-2e33-4001-9440-e1065bb5940b	chr16	686497	706112	19669	False	60	2	chr16_rank3_score4.722_reads400	train	merged_e5b	0
9	43957502-0bfa-4f06-acde-3a04f2cef491	chr16	687237	701027	13861	True	60	2	chr16_rank3_score4.722_reads400	train	merged_e5b	0
10	9d974eb4-bddb-4871-ab5b-f3b860d8af70	chr16	689060	703972	14944	True	60	2	chr16_rank3_score4.722_reads400	train	merged_e5b	0
11	1e484b29-43c8-4903-88ff-e7e7c29ecb3b	chr16	689563	705798	16323	True	60	2	chr16_rank3_score4.722_reads400	train	merged_e5b	0
12	207d270d-d37c-45f5-ae69-b604c7eea8a2	chr16	693054	702279	9278	False	60	2	chr16_rank3_score4.722_reads400	train	merged_e5b	0
13	e911b50e-36cf-4017-a9b5-2cd5437cb1f8	chr16	693432	702513	9249	True	60	2	chr16_rank3_score4.722_reads400	train	merged_e5b	0
14	2f551cbc-9a1b-486e-9b91-7c15ebda2fcd	chr16	694211	714181	20019	True	60	0	chr16_rank1_score5.069_reads370	train	merged_e5b	0
15	3167b5e4-a560-415a-8b64-ec3d1ca77ebe	chr16	694286	705781	11715	True	60	0	chr16_rank1_score5.069_reads370	train	merged_e5b	0
16	fb4485e1-4b2b-496a-95fd-b52df7accd1e	chr16	696044	704844	8431	False	60	0	chr16_rank1_score5.069_reads370	train	merged_e5b	0
17	737243f9-6d51-482f-91ab-c924a7acb00a	chr16	696240	714133	17995	False	60	0	chr16_rank1_score5.069_reads370	train	merged_e5b	0
18	bb1c312d-a733-43b3-a6ca-d4e6ccc6c42f	chr16	696240	714133	18030	True	60	0	chr16_rank1_score5.069_reads370	train	merged_e5b	0
