row_idx	read_id	chrom	alignment_start	alignment_end	read_length	is_reverse	mapq	region_id	region_name	split	sample	sample_id
0	ec040e7a-aed9-4bc1-bc21-516a5ea97581	chr19	1190078	1211340	19460	True	60	0	chr16_rank1_score4.618_reads285	train	merged_e5b	0
1	edc6cd4e-571b-491f-b75b-09bbd36c2b35	chr19	1190780	1215456	22854	True	60	0	chr16_rank1_score4.618_reads285	train	merged_e5b	0
2	abbcd062-649c-4ba2-b9d6-164423777e59	chr19	1193502	1218608	23215	True	60	0	chr16_rank1_score4.618_reads285	train	merged_e5b	0
3	65a85d8a-7dfd-4403-8fa8-b31c0a5ee110	chr19	1194356	1207743	11568	False	60	0	chr16_rank1_score4.618_reads285	train	merged_e5b	0
4	a35fa70f-cde5-46af-8e44-0416fee7daa6	chr19	1196693	1207830	11105	False	60	0	chr16_rank1_score4.618_reads285	train	merged_e5b	0
5	5b2b5f54-0bb7-4e9a-bcd7-c8b8503410d3	chr19	1197964	1209379	11417	True	60	0	chr16_rank1_score4.618_reads285	train	merged_e5b	0
6	ded61270-cc0e-4ab9-8d56-b6574d3b8b30	chr19	1198182	1217307	19069	False	60	0	chr16_rank1_score4.618_reads285	train	merged_e5b	0
7	b67e1a86-d6f5-4b10-9933-b6c8954ff89a	chr19	1198182	1217307	18942	True	60	0	chr16_rank1_score4.618_reads285	train	merged_e5b	0
8	870a2df9-80a9-4880-8e2c-1f283e95e7bc	chr19	1198335	1225523	25695	False	51	0	chr16_rank1_score4.618_reads285	train	merged_e5b	0
9	9d0a3312-be82-4321-b4bd-be3d67a2b153	chr19	1198402	1204188	5785	True	60	0	chr16_rank1_score4.618_reads285	train	merged_e5b	0
10	cf988a6e-5ba1-4578-933c-da2920ea35f5	chr19	1198450	1206971	8347	True	60	0	chr16_rank1_score4.618_reads285	train	merged_e5b	0
11	23c29cdb-98cb-4227-9060-9a1195ea7c38	chr19	1198867	1211350	14885	True	60	0	chr16_rank1_score4.618_reads285	train	merged_e5b	0
12	9a3c7e5b-4022-4c5c-b811-9cd5d793d788	chr19	1199014	1202906	3909	True	60	0	chr16_rank1_score4.618_reads285	train	merged_e5b	0
13	b700147d-3acd-41e0-a026-9e65f4b9118a	chr19	1199160	1209159	10029	False	60	0	chr16_rank1_score4.618_reads285	train	merged_e5b	0
14	1a824304-a47f-43e2-affd-269556c641c7	chr19	1199273	1208815	9846	False	60	0	chr16_rank1_score4.618_reads285	train	merged_e5b	0
15	d9e0e028-81ae-48cf-a3eb-92ad2814bfd8	chr19	1199917	1206678	6750	False	60	0	chr16_rank1_score4.618_reads285	train	merged_e5b	0
16	c22ee843-8bef-4b68-a731-e42637396ee6	chr19	1200317	1209575	13741	False	60	0	chr16_rank1_score4.618_reads285	train	merged_e5b	0
17	5410b953-297a-4ddb-8335-d7f260417ef3	chr19	1201890	1204703	2818	True	60	0	chr16_rank1_score4.618_reads285	train	merged_e5b	0
18	ee06733e-7036-4f12-aa68-0daeef61f400	chr19	1202460	1221955	19421	False	60	0	chr16_rank1_score4.618_reads285	train	merged_e5b	0
19	939afbca-d286-4545-9db8-6c96165624fc	chr19	1202460	1221955	19463	True	60	0	chr16_rank1_score4.618_reads285	train	merged_e5b	0
20	b2b8d278-6d31-42a7-a1df-ddb7e1e0c6b7	chr19	1202760	1206463	3664	False	60	0	chr16_rank1_score4.618_reads285	train	merged_e5b	0
21	8e2230b7-ed76-4bb7-9af6-4d7bdd443492	chr19	1203029	1213253	10146	False	60	0	chr16_rank1_score4.618_reads285	train	merged_e5b	0
22	04a8fa2f-4188-47f6-a208-75f26b9b4181	chr19	1203247	1225812	21983	False	60	0	chr16_rank1_score4.618_reads285	train	merged_e5b	0
23	2aa70344-90bc-4f08-814a-c39f7e067cbb	chr19	1203276	1225808	22226	True	60	0	chr16_rank1_score4.618_reads285	train	merged_e5b	0
24	316953d8-251b-4aba-a352-b5b229b6d083	chr19	1203463	1210304	6692	True	28	0	chr16_rank1_score4.618_reads285	train	merged_e5b	0
25	63412a98-3ce1-4040-91c7-55b4e564eb16	chr19	1203595	1212741	9198	False	60	0	chr16_rank1_score4.618_reads285	train	merged_e5b	0
26	33042d7f-e4d3-4efb-a472-41515a542019	chr19	1203987	1212459	8417	True	60	0	chr16_rank1_score4.618_reads285	train	merged_e5b	0
27	4a950c2c-9d4e-48d1-b3c7-53d77d23f5f3	chr19	1204130	1217110	12254	False	26	0	chr16_rank1_score4.618_reads285	train	merged_e5b	0
