row_idx	read_id	chrom	alignment_start	alignment_end	read_length	window_start	window_end	window_length	is_reverse	mapq	region_id	region_name	split	sample	sample_id
0	e56fcbe8-c67a-4f6b-a185-8d3fdc134562	chr19	1175743	1228343	50458	0	32768	32768	True	60	0	chr16_rank1_score4.618_reads285	train	merged_e5b	0
1	e56fcbe8-c67a-4f6b-a185-8d3fdc134562	chr19	1175743	1228343	50458	16384	49152	32768	True	60	0	chr16_rank1_score4.618_reads285	train	merged_e5b	0
2	e56fcbe8-c67a-4f6b-a185-8d3fdc134562	chr19	1175743	1228343	50458	17690	50458	32768	True	60	0	chr16_rank1_score4.618_reads285	train	merged_e5b	0
3	e56fcbe8-c67a-4f6b-a185-8d3fdc134562	chr19	1175743	1228343	50458	32768	50458	17690	True	60	0	chr16_rank1_score4.618_reads285	train	merged_e5b	0
4	e56fcbe8-c67a-4f6b-a185-8d3fdc134562	chr19	1175743	1228343	50458	49152	50458	1306	True	60	0	chr16_rank1_score4.618_reads285	train	merged_e5b	0
5	32e2881e-e3f4-44d9-8431-8948545d8898	chr19	1186403	1242491	54095	0	32768	32768	True	60	0	chr16_rank1_score4.618_reads285	train	merged_e5b	0
6	32e2881e-e3f4-44d9-8431-8948545d8898	chr19	1186403	1242491	54095	16384	49152	32768	True	60	0	chr16_rank1_score4.618_reads285	train	merged_e5b	0
7	32e2881e-e3f4-44d9-8431-8948545d8898	chr19	1186403	1242491	54095	21327	54095	32768	True	60	0	chr16_rank1_score4.618_reads285	train	merged_e5b	0
8	32e2881e-e3f4-44d9-8431-8948545d8898	chr19	1186403	1242491	54095	32768	54095	21327	True	60	0	chr16_rank1_score4.618_reads285	train	merged_e5b	0
9	32e2881e-e3f4-44d9-8431-8948545d8898	chr19	1186403	1242491	54095	49152	54095	4943	True	60	0	chr16_rank1_score4.618_reads285	train	merged_e5b	0
10	ec040e7a-aed9-4bc1-bc21-516a5ea97581	chr19	1190078	1211340	19460	0	19460	19460	True	60	0	chr16_rank1_score4.618_reads285	train	merged_e5b	0
11	edc6cd4e-571b-491f-b75b-09bbd36c2b35	chr19	1190780	1215456	22854	0	22854	22854	True	60	0	chr16_rank1_score4.618_reads285	train	merged_e5b	0
12	63c192a7-0a27-48d6-b44c-1b411a2ddee1	chr19	1191479	1232010	38550	0	32768	32768	True	60	0	chr16_rank1_score4.618_reads285	train	merged_e5b	0
13	63c192a7-0a27-48d6-b44c-1b411a2ddee1	chr19	1191479	1232010	38550	5782	38550	32768	True	60	0	chr16_rank1_score4.618_reads285	train	merged_e5b	0
14	63c192a7-0a27-48d6-b44c-1b411a2ddee1	chr19	1191479	1232010	38550	16384	38550	22166	True	60	0	chr16_rank1_score4.618_reads285	train	merged_e5b	0
15	63c192a7-0a27-48d6-b44c-1b411a2ddee1	chr19	1191479	1232010	38550	32768	38550	5782	True	60	0	chr16_rank1_score4.618_reads285	train	merged_e5b	0
16	f36ae7f4-d116-4c86-8273-09dc4cca97f5	chr19	1192405	1242655	48194	0	32768	32768	False	60	0	chr16_rank1_score4.618_reads285	train	merged_e5b	0
17	f36ae7f4-d116-4c86-8273-09dc4cca97f5	chr19	1192405	1242655	48194	15426	48194	32768	False	60	0	chr16_rank1_score4.618_reads285	train	merged_e5b	0
18	f36ae7f4-d116-4c86-8273-09dc4cca97f5	chr19	1192405	1242655	48194	16384	48194	31810	False	60	0	chr16_rank1_score4.618_reads285	train	merged_e5b	0
19	f36ae7f4-d116-4c86-8273-09dc4cca97f5	chr19	1192405	1242655	48194	32768	48194	15426	False	60	0	chr16_rank1_score4.618_reads285	train	merged_e5b	0
20	abbcd062-649c-4ba2-b9d6-164423777e59	chr19	1193502	1218608	23215	0	23215	23215	True	60	0	chr16_rank1_score4.618_reads285	train	merged_e5b	0
21	65a85d8a-7dfd-4403-8fa8-b31c0a5ee110	chr19	1194356	1207743	11568	0	11568	11568	False	60	0	chr16_rank1_score4.618_reads285	train	merged_e5b	0
22	a35fa70f-cde5-46af-8e44-0416fee7daa6	chr19	1196693	1207830	11105	0	11105	11105	False	60	0	chr16_rank1_score4.618_reads285	train	merged_e5b	0
23	0881cf5f-668c-4f1e-8a3e-1c63e0090ce6	chr19	42147472	42241065	92866	0	32768	32768	False	60	1	chr16_rank2_score3.625_reads849	train	merged_e5b	0
24	0881cf5f-668c-4f1e-8a3e-1c63e0090ce6	chr19	42147472	42241065	92866	16384	49152	32768	False	60	1	chr16_rank2_score3.625_reads849	train	merged_e5b	0
25	0881cf5f-668c-4f1e-8a3e-1c63e0090ce6	chr19	42147472	42241065	92866	32768	65536	32768	False	60	1	chr16_rank2_score3.625_reads849	train	merged_e5b	0
26	0881cf5f-668c-4f1e-8a3e-1c63e0090ce6	chr19	42147472	42241065	92866	49152	81920	32768	False	60	1	chr16_rank2_score3.625_reads849	train	merged_e5b	0
27	0881cf5f-668c-4f1e-8a3e-1c63e0090ce6	chr19	42147472	42241065	92866	60098	92866	32768	False	60	1	chr16_rank2_score3.625_reads849	train	merged_e5b	0
28	0881cf5f-668c-4f1e-8a3e-1c63e0090ce6	chr19	42147472	42241065	92866	65536	92866	27330	False	60	1	chr16_rank2_score3.625_reads849	train	merged_e5b	0
29	0881cf5f-668c-4f1e-8a3e-1c63e0090ce6	chr19	42147472	42241065	92866	81920	92866	10946	False	60	1	chr16_rank2_score3.625_reads849	train	merged_e5b	0
30	e14cc1a2-2235-4f49-94e1-62c3bb84228e	chr19	42162280	42200704	38352	0	32768	32768	False	60	1	chr16_rank2_score3.625_reads849	train	merged_e5b	0
31	e14cc1a2-2235-4f49-94e1-62c3bb84228e	chr19	42162280	42200704	38352	5584	38352	32768	False	60	1	chr16_rank2_score3.625_reads849	train	merged_e5b	0
32	e14cc1a2-2235-4f49-94e1-62c3bb84228e	chr19	42162280	42200704	38352	16384	38352	21968	False	60	1	chr16_rank2_score3.625_reads849	train	merged_e5b	0
33	e14cc1a2-2235-4f49-94e1-62c3bb84228e	chr19	42162280	42200704	38352	32768	38352	5584	False	60	1	chr16_rank2_score3.625_reads849	train	merged_e5b	0
34	6143e6fd-ec28-478c-a5c5-4b4eab8e02a9	chr19	42168095	42201801	33549	0	32768	32768	False	60	1	chr16_rank2_score3.625_reads849	train	merged_e5b	0
35	6143e6fd-ec28-478c-a5c5-4b4eab8e02a9	chr19	42168095	42201801	33549	781	33549	32768	False	60	1	chr16_rank2_score3.625_reads849	train	merged_e5b	0
36	6143e6fd-ec28-478c-a5c5-4b4eab8e02a9	chr19	42168095	42201801	33549	16384	33549	17165	False	60	1	chr16_rank2_score3.625_reads849	train	merged_e5b	0
37	6143e6fd-ec28-478c-a5c5-4b4eab8e02a9	chr19	42168095	42201801	33549	32768	33549	781	False	60	1	chr16_rank2_score3.625_reads849	train	merged_e5b	0
38	55377096-5104-4902-a42d-fe226f932534	chr19	42171744	42211678	39817	0	32768	32768	False	60	1	chr16_rank2_score3.625_reads849	train	merged_e5b	0
39	55377096-5104-4902-a42d-fe226f932534	chr19	42171744	42211678	39817	7049	39817	32768	False	60	1	chr16_rank2_score3.625_reads849	train	merged_e5b	0
40	55377096-5104-4902-a42d-fe226f932534	chr19	42171744	42211678	39817	16384	39817	23433	False	60	1	chr16_rank2_score3.625_reads849	train	merged_e5b	0
41	55377096-5104-4902-a42d-fe226f932534	chr19	42171744	42211678	39817	32768	39817	7049	False	60	1	chr16_rank2_score3.625_reads849	train	merged_e5b	0
42	7375529f-e90c-4d69-83a1-7a0ea0b22216	chr19	42173336	42201882	28498	0	28498	28498	True	60	1	chr16_rank2_score3.625_reads849	train	merged_e5b	0
43	72b9677c-b6a6-4f40-9fc8-44c2c0c7b92a	chr19	42174232	42201644	27057	0	27057	27057	False	60	1	chr16_rank2_score3.625_reads849	train	merged_e5b	0
44	85e430f8-79f7-4e0a-bfae-b3b12f36f284	chr19	42175429	42207429	31881	0	31881	31881	True	60	1	chr16_rank2_score3.625_reads849	train	merged_e5b	0
45	26c66a5f-ae15-496f-ad44-26a32fa9cd6e	chr19	42175825	42231288	97297	0	32768	32768	False	60	1	chr16_rank2_score3.625_reads849	train	merged_e5b	0
46	26c66a5f-ae15-496f-ad44-26a32fa9cd6e	chr19	42175825	42231288	97297	16384	49152	32768	False	60	1	chr16_rank2_score3.625_reads849	train	merged_e5b	0
47	26c66a5f-ae15-496f-ad44-26a32fa9cd6e	chr19	42175825	42231288	97297	32768	65536	32768	False	60	1	chr16_rank2_score3.625_reads849	train	merged_e5b	0
48	26c66a5f-ae15-496f-ad44-26a32fa9cd6e	chr19	42175825	42231288	97297	49152	81920	32768	False	60	1	chr16_rank2_score3.625_reads849	train	merged_e5b	0
49	26c66a5f-ae15-496f-ad44-26a32fa9cd6e	chr19	42175825	42231288	97297	64529	97297	32768	False	60	1	chr16_rank2_score3.625_reads849	train	merged_e5b	0
50	26c66a5f-ae15-496f-ad44-26a32fa9cd6e	chr19	42175825	42231288	97297	65536	97297	31761	False	60	1	chr16_rank2_score3.625_reads849	train	merged_e5b	0
51	26c66a5f-ae15-496f-ad44-26a32fa9cd6e	chr19	42175825	42231288	97297	81920	97297	15377	False	60	1	chr16_rank2_score3.625_reads849	train	merged_e5b	0
52	b8804d65-a416-4c82-8881-110b618a6d26	chr19	42177325	42206795	29450	0	29450	29450	True	60	1	chr16_rank2_score3.625_reads849	train	merged_e5b	0
53	f6de5948-9ee5-40d7-9ada-ea69f8976065	chr19	42178851	42208345	29359	0	29359	29359	False	60	1	chr16_rank2_score3.625_reads849	train	merged_e5b	0
54	4c98cba8-86ac-4525-9041-b2d8281d1e00	chr19	42178938	42214446	35479	0	32768	32768	True	60	1	chr16_rank2_score3.625_reads849	train	merged_e5b	0
55	4c98cba8-86ac-4525-9041-b2d8281d1e00	chr19	42178938	42214446	35479	2711	35479	32768	True	60	1	chr16_rank2_score3.625_reads849	train	merged_e5b	0
56	4c98cba8-86ac-4525-9041-b2d8281d1e00	chr19	42178938	42214446	35479	16384	35479	19095	True	60	1	chr16_rank2_score3.625_reads849	train	merged_e5b	0
57	4c98cba8-86ac-4525-9041-b2d8281d1e00	chr19	42178938	42214446	35479	32768	35479	2711	True	60	1	chr16_rank2_score3.625_reads849	train	merged_e5b	0
58	f5ed1102-14ae-4a5a-9610-f95698ab0fca	chr19	42179254	42207400	39688	0	32768	32768	True	60	1	chr16_rank2_score3.625_reads849	train	merged_e5b	0
59	f5ed1102-14ae-4a5a-9610-f95698ab0fca	chr19	42179254	42207400	39688	6920	39688	32768	True	60	1	chr16_rank2_score3.625_reads849	train	merged_e5b	0
60	f5ed1102-14ae-4a5a-9610-f95698ab0fca	chr19	42179254	42207400	39688	16384	39688	23304	True	60	1	chr16_rank2_score3.625_reads849	train	merged_e5b	0
61	f5ed1102-14ae-4a5a-9610-f95698ab0fca	chr19	42179254	42207400	39688	32768	39688	6920	True	60	1	chr16_rank2_score3.625_reads849	train	merged_e5b	0
62	5c790fff-6688-4a79-ac94-f658a207bb7f	chr19	42179797	42203491	23164	0	23164	23164	False	60	1	chr16_rank2_score3.625_reads849	train	merged_e5b	0
63	380c7aef-4d05-44fa-b950-ef8c8ab755ed	chr19	42180389	42221510	39941	0	32768	32768	False	60	1	chr16_rank2_score3.625_reads849	train	merged_e5b	0
64	380c7aef-4d05-44fa-b950-ef8c8ab755ed	chr19	42180389	42221510	39941	7173	39941	32768	False	60	1	chr16_rank2_score3.625_reads849	train	merged_e5b	0
65	380c7aef-4d05-44fa-b950-ef8c8ab755ed	chr19	42180389	42221510	39941	16384	39941	23557	False	60	1	chr16_rank2_score3.625_reads849	train	merged_e5b	0
66	380c7aef-4d05-44fa-b950-ef8c8ab755ed	chr19	42180389	42221510	39941	32768	39941	7173	False	60	1	chr16_rank2_score3.625_reads849	train	merged_e5b	0
67	71fa5655-44a4-4be0-9e95-92e0a0a9040b	chr19	42181102	42223915	42060	0	32768	32768	True	60	1	chr16_rank2_score3.625_reads849	train	merged_e5b	0
68	71fa5655-44a4-4be0-9e95-92e0a0a9040b	chr19	42181102	42223915	42060	9292	42060	32768	True	60	1	chr16_rank2_score3.625_reads849	train	merged_e5b	0
69	71fa5655-44a4-4be0-9e95-92e0a0a9040b	chr19	42181102	42223915	42060	16384	42060	25676	True	60	1	chr16_rank2_score3.625_reads849	train	merged_e5b	0
70	71fa5655-44a4-4be0-9e95-92e0a0a9040b	chr19	42181102	42223915	42060	32768	42060	9292	True	60	1	chr16_rank2_score3.625_reads849	train	merged_e5b	0
71	dcd6c56c-7454-4753-bcfa-46998e8b5b17	chr19	42181483	42203273	21404	0	21404	21404	True	60	1	chr16_rank2_score3.625_reads849	train	merged_e5b	0
72	5bc31359-44e2-4adf-ac2d-5b60b666bcbd	chr19	42181571	42203273	21192	0	21192	21192	False	60	1	chr16_rank2_score3.625_reads849	train	merged_e5b	0
73	8fc2b9c9-3c14-49e2-b371-a390e2b23718	chr19	12662832	12702526	38895	0	32768	32768	True	60	2	chr16_rank3_score3.120_reads258	train	merged_e5b	0
74	8fc2b9c9-3c14-49e2-b371-a390e2b23718	chr19	12662832	12702526	38895	6127	38895	32768	True	60	2	chr16_rank3_score3.120_reads258	train	merged_e5b	0
75	8fc2b9c9-3c14-49e2-b371-a390e2b23718	chr19	12662832	12702526	38895	16384	38895	22511	True	60	2	chr16_rank3_score3.120_reads258	train	merged_e5b	0
76	8fc2b9c9-3c14-49e2-b371-a390e2b23718	chr19	12662832	12702526	38895	32768	38895	6127	True	60	2	chr16_rank3_score3.120_reads258	train	merged_e5b	0
77	24e4ad19-3973-40ca-97b2-7275e2847ad8	chr19	12664067	12727535	61672	0	32768	32768	False	60	2	chr16_rank3_score3.120_reads258	train	merged_e5b	0
78	24e4ad19-3973-40ca-97b2-7275e2847ad8	chr19	12664067	12727535	61672	16384	49152	32768	False	60	2	chr16_rank3_score3.120_reads258	train	merged_e5b	0
79	24e4ad19-3973-40ca-97b2-7275e2847ad8	chr19	12664067	12727535	61672	28904	61672	32768	False	60	2	chr16_rank3_score3.120_reads258	train	merged_e5b	0
80	24e4ad19-3973-40ca-97b2-7275e2847ad8	chr19	12664067	12727535	61672	32768	61672	28904	False	60	2	chr16_rank3_score3.120_reads258	train	merged_e5b	0
81	24e4ad19-3973-40ca-97b2-7275e2847ad8	chr19	12664067	12727535	61672	49152	61672	12520	False	60	2	chr16_rank3_score3.120_reads258	train	merged_e5b	0
82	ad4107a3-d492-4e48-a311-4a56e197e0dd	chr19	12664068	12727535	62179	0	32768	32768	True	60	2	chr16_rank3_score3.120_reads258	train	merged_e5b	0
83	ad4107a3-d492-4e48-a311-4a56e197e0dd	chr19	12664068	12727535	62179	16384	49152	32768	True	60	2	chr16_rank3_score3.120_reads258	train	merged_e5b	0
84	ad4107a3-d492-4e48-a311-4a56e197e0dd	chr19	12664068	12727535	62179	29411	62179	32768	True	60	2	chr16_rank3_score3.120_reads258	train	merged_e5b	0
85	ad4107a3-d492-4e48-a311-4a56e197e0dd	chr19	12664068	12727535	62179	32768	62179	29411	True	60	2	chr16_rank3_score3.120_reads258	train	merged_e5b	0
86	ad4107a3-d492-4e48-a311-4a56e197e0dd	chr19	12664068	12727535	62179	49152	62179	13027	True	60	2	chr16_rank3_score3.120_reads258	train	merged_e5b	0
