locus_id	chrom	window_start	window_end	read_id_1	read_id_2	dna_distance	observed_6ma_mae	observed_5mc_mae	predicted_6ma_mae	predicted_5mc_mae	observed_6ma_correlation_distance	predicted_6ma_correlation_distance	observed_5mc_correlation_distance	predicted_5mc_correlation_distance	shared_valid_bins_observed_6ma	shared_valid_bins_observed_5mc	comparable_bases	comparable_fraction	sequence_mismatches	sequence_indels	substitution_distance	indel_distance	pair_prediction_error_6ma	mapq_1	mapq_2	coverage_fraction_1	coverage_fraction_2	valid_6ma_positions_1	valid_6ma_positions_2	valid_5mc_positions_1	valid_5mc_positions_2	case	case_score	dna_low_threshold	dna_high_threshold	observed_6ma_low_threshold	observed_6ma_high_threshold
synthetic_A_0	chrSynthetic	0	1000	A_16_a	A_16_b	0.046792648029463896	0.8100020827317121	0.5981840672072131							5	5	1000	1.0	0	0	0.0	0.0		60	60	1.0	1.0	10	10	2	2	A_lowDNA_high6mA	2.0328580242826453	0.04980129532092658	0.7992078894111027	0.05	0.7997888165565524
synthetic_A_3	chrSynthetic	0	1000	A_15_a	A_15_b	0.04226427660935759	0.804296913440108	0.50777223630035							5	5	1000	1.0	0	0	0.0	0.0		60	60	1.0	1.0	10	10	2	2	A_lowDNA_high6mA	2.029697174345382	0.04980129532092658	0.7992078894111027	0.05	0.7997888165565524
synthetic_A_3	chrSynthetic	0	1000	A_11_a	A_11_b	0.045955813802872	0.8053044931169304	0.3695363106022067							5	5	1000	1.0	0	0	0.0	0.0		60	60	1.0	1.0	10	10	2	2	A_lowDNA_high6mA	2.0225504088185744	0.04980129532092658	0.7992078894111027	0.05	0.7997888165565524
synthetic_B_1	chrSynthetic	0	1000	B_17_a	B_17_b	0.8025995381851695	0.04483162083963156	0.005178865815432143							5	5	1000	1.0	0	0	0.0	0.0		60	60	1.0	1.0	10	10	2	2	B_highDNA_low6mA	2.0230926026477807	0.04980129532092658	0.7992078894111027	0.05	0.7997888165565524
synthetic_B_2	chrSynthetic	0	1000	B_18_a	B_18_b	0.8001764342433074	0.04472757688975445	0.13676405154258153							5	5	1000	1.0	0	0	0.0	0.0		60	60	1.0	1.0	10	10	2	2	B_highDNA_low6mA	2.0169140706543294	0.04980129532092658	0.7992078894111027	0.05	0.7997888165565524
synthetic_B_3	chrSynthetic	0	1000	B_11_a	B_11_b	0.8052606317921348	0.04997300219664187	0.025196870801760363							5	5	1000	1.0	0	0	0.0	0.0		60	60	1.0	1.0	10	10	2	2	B_highDNA_low6mA	2.0164611877494236	0.04980129532092658	0.7992078894111027	0.05	0.7997888165565524
synthetic_C_1	chrSynthetic	0	1000	C_9_a	C_9_b	0.79922956213397	0.8048296080936441	0.25099924666475815							5	5	1000	1.0	0	0	0.0	0.0		60	60	1.0	1.0	10	10	2	2	C_highDNA_high6mA	2.014485647826184	0.04980129532092658	0.7992078894111027	0.05	0.7997888165565524
synthetic_C_0	chrSynthetic	0	1000	C_16_a	C_16_b	0.803674633546292	0.7998827804072258	0.6352261838997132							5	5	1000	1.0	0	0	0.0	0.0		60	60	1.0	1.0	10	10	2	2	C_highDNA_high6mA	2.0131267738570906	0.04980129532092658	0.7992078894111027	0.05	0.7997888165565524
synthetic_C_0	chrSynthetic	0	1000	C_0_a	C_0_b	0.8	0.8	0.5130035828222085							5	5	1000	1.0	0	0	0.0	0.0		60	60	1.0	1.0	10	10	2	2	C_highDNA_high6mA	2.003648781644861	0.04980129532092658	0.7992078894111027	0.05	0.7997888165565524
synthetic_D_3	chrSynthetic	0	1000	D_11_a	D_11_b	0.041781013244072074	0.03945009772845261	0.7971269128461297							5	5	1000	1.0	0	0	0.0	0.0		60	60	1.0	1.0	10	10	2	2	D_lowDNA_low6mA	2.0463970044399424	0.04980129532092658	0.7992078894111027	0.05	0.7997888165565524
synthetic_D_1	chrSynthetic	0	1000	D_9_a	D_9_b	0.044274115464053375	0.041556642098660716	0.31800319786228226							5	5	1000	1.0	0	0	0.0	0.0		60	60	1.0	1.0	10	10	2	2	D_lowDNA_low6mA	2.034132168352065	0.04980129532092658	0.7992078894111027	0.05	0.7997888165565524
synthetic_D_2	chrSynthetic	0	1000	D_14_a	D_14_b	0.045141456544753045	0.04178259338794447	0.6611914610149492							5	5	1000	1.0	0	0	0.0	0.0		60	60	1.0	1.0	10	10	2	2	D_lowDNA_low6mA	2.0312181536580365	0.04980129532092658	0.7992078894111027	0.05	0.7997888165565524
