group	task	valid_positions	bce	mse	mae	mean_pred	mean_target	pearson	spearman	auroc	auprc	positive_fraction	auprc_enrichment
chr16_rank10_score3.770_reads393	6mA	565738	0.3115450441837311	0.04448241740465164	0.12639714777469635	0.08972524851560593	0.10105659067630768	0.27163946628570557	0.25409709264281133	0.6938970747539989	0.1688278190339328	0.06903372232376118	2.445584756999592
chr16_rank12_score3.555_reads441	6mA	962224	0.24327002465724945	0.03353437781333923	0.10760226845741272	0.0812537893652916	0.07254833728075027	0.27014288306236267	0.2839698316431771	0.733856338361226	0.1284500191888731	0.04895949383927235	2.6235977767776317
chr16_rank13_score3.528_reads360	6mA	862137	0.326612651348114	0.04413221403956413	0.12228039652109146	0.08165400475263596	0.10512937605381012	0.23451708257198334	0.26086472080039896	0.6622222471552528	0.1303862636216399	0.06755190880335724	1.930164016551963
chr16_rank20_score3.106_reads440	6mA	478176	0.3126605153083801	0.037269677966833115	0.11628558486700058	0.0846891924738884	0.0992351546883583	0.23588873445987701	0.2679966359068406	0.6794687625979742	0.11858573203384601	0.057263434383992506	2.07088054199899
chr16_rank28_score2.759_reads388	6mA	470040	0.2977868616580963	0.04378405585885048	0.12264535576105118	0.08410701900720596	0.09363448619842529	0.2313159555196762	0.24272136122840857	0.6742154332567666	0.13603433369345297	0.06517955918645221	2.087070477176964
chr16_rank42_score2.388_reads405	6mA	813932	0.28078344464302063	0.035297226160764694	0.10968507081270218	0.07815816253423691	0.08532297611236572	0.21880647540092468	0.281028759412737	0.6568015398606196	0.0944670313603653	0.05184708304870677	1.8220317480854231
chr16_rank47_score2.283_reads390	6mA	1039214	0.2349102795124054	0.026871386915445328	0.0963253453373909	0.07310840487480164	0.06788605451583862	0.26302701234817505	0.2674896478990577	0.7180495437702192	0.11001622378023398	0.038097061817873895	2.887787627984948
chr16_rank51_score2.207_reads409	6mA	418188	0.30008944869041443	0.03340597078204155	0.11437585949897766	0.09315415471792221	0.09410707652568817	0.2536855936050415	0.2713070706310558	0.6745244902406364	0.12069023561287365	0.05150554296153883	2.3432475161556434
chr16_rank5_score4.345_reads484	6mA	461532	0.29127073287963867	0.04225972294807434	0.12033867835998535	0.08148195594549179	0.09110202640295029	0.24237510561943054	0.2284563878637856	0.6878113916090738	0.14389593804666084	0.06406923030255757	2.2459445410399552
chr16_rank65_score1.965_reads478	6mA	1147790	0.25211623311042786	0.0316932238638401	0.10983076691627502	0.086024709045887	0.07235556840896606	0.19654035568237305	0.18351608326527863	0.6810082729123994	0.09053200359148877	0.0429651765566872	2.107101863576496
chr16_rank69_score1.952_reads413	6mA	168961	0.2668168842792511	0.03882334381341934	0.11188079416751862	0.07424784451723099	0.07989508658647537	0.2278042733669281	0.17751661915157352	0.6913211719067724	0.1385442301041326	0.05664620829658915	2.4457811788344324
chr16_rank75_score1.890_reads441	6mA	661199	0.2326725721359253	0.024645362049341202	0.08671674132347107	0.05810894817113876	0.06507924944162369	0.21874718368053436	0.20624934687373572	0.6831465786137274	0.08551989754221959	0.033192730176542916	2.5764646983650636
chr16_rank7_score3.907_reads501	6mA	882468	0.2883990406990051	0.04208063706755638	0.11919599771499634	0.08026241511106491	0.08842389285564423	0.21745793521404266	0.19544730618042516	0.6607473858509718	0.13391810678676286	0.06237846584805341	2.146864386068288
chr16_rank84_score1.762_reads421	6mA	430808	0.3042382597923279	0.02762315608561039	0.09717034548521042	0.06385159492492676	0.09290750324726105	0.2681824564933777	0.29318892087886844	0.6912687692442003	0.10009820347915432	0.03827691222075728	2.615106539990753
chr16_rank8_score3.838_reads346	6mA	830851	0.2869582772254944	0.03929562494158745	0.11980881541967392	0.08842296153306961	0.08863867074251175	0.22646872699260712	0.2245645284599915	0.688407068464724	0.12417431530520895	0.05755785333350986	2.1573826700189906
