region_id	chrom	start	end	name	split
0	chr11	800000	900000	chr16_rank1_score6.530_reads411	train
1	chr11	64200000	64300000	chr16_rank2_score6.477_reads404	train
2	chr11	67300000	67400000	chr16_rank3_score6.084_reads459	train
3	chr11	118900000	119000000	chr16_rank4_score5.763_reads413	train
4	chr11	65500000	65600000	chr16_rank5_score5.590_reads452	test
5	chr11	65400000	65500000	chr16_rank6_score5.152_reads530	train
6	chr11	700000	800000	chr16_rank7_score5.133_reads389	test
7	chr11	73300000	73400000	chr16_rank8_score4.738_reads677	test
8	chr11	65800000	65900000	chr16_rank9_score4.723_reads436	val
9	chr11	62600000	62700000	chr16_rank10_score4.661_reads451	test
10	chr11	62700000	62800000	chr16_rank11_score4.471_reads452	train
11	chr11	500000	600000	chr16_rank12_score4.437_reads405	test
12	chr11	64800000	64900000	chr16_rank13_score4.362_reads463	test
13	chr11	2900000	3000000	chr16_rank14_score4.361_reads517	train
14	chr11	68000000	68100000	chr16_rank15_score4.296_reads453	train
15	chr11	64300000	64400000	chr16_rank16_score4.291_reads426	val
16	chr11	67400000	67500000	chr16_rank17_score4.280_reads398	train
17	chr11	62500000	62600000	chr16_rank18_score4.058_reads419	train
18	chr11	65600000	65700000	chr16_rank19_score3.968_reads502	train
19	chr11	119000000	119100000	chr16_rank20_score3.961_reads418	test
20	chr11	62800000	62900000	chr16_rank21_score3.787_reads473	train
21	chr11	119300000	119400000	chr16_rank22_score3.635_reads492	train
22	chr11	119100000	119200000	chr16_rank23_score3.587_reads401	train
23	chr11	65300000	65400000	chr16_rank24_score3.572_reads482	train
24	chr11	300000	400000	chr16_rank25_score3.549_reads396	train
25	chr11	76700000	76800000	chr16_rank26_score3.547_reads478	train
26	chr11	63900000	64000000	chr16_rank27_score3.510_reads391	train
27	chr11	61800000	61900000	chr16_rank28_score3.403_reads417	test
28	chr11	2100000	2200000	chr16_rank29_score3.307_reads404	val
29	chr11	65900000	66000000	chr16_rank30_score3.302_reads441	train
30	chr11	46300000	46400000	chr16_rank31_score3.298_reads422	val
31	chr11	66300000	66400000	chr16_rank32_score3.212_reads464	train
32	chr11	66200000	66300000	chr16_rank33_score3.146_reads454	train
33	chr11	65000000	65100000	chr16_rank34_score3.142_reads439	train
34	chr11	61700000	61800000	chr16_rank35_score3.087_reads411	train
35	chr11	65100000	65200000	chr16_rank36_score3.085_reads445	train
36	chr11	66000000	66100000	chr16_rank37_score3.079_reads478	train
37	chr11	1800000	1900000	chr16_rank38_score3.043_reads439	train
38	chr11	66800000	66900000	chr16_rank39_score3.008_reads434	train
39	chr11	75500000	75600000	chr16_rank40_score3.002_reads561	train
40	chr11	64000000	64100000	chr16_rank41_score2.966_reads395	train
41	chr11	67200000	67300000	chr16_rank42_score2.948_reads490	test
42	chr11	200000	300000	chr16_rank43_score2.947_reads376	train
43	chr11	47200000	47300000	chr16_rank44_score2.937_reads424	train
44	chr11	400000	500000	chr16_rank45_score2.901_reads395	train
45	chr11	1500000	1600000	chr16_rank46_score2.887_reads417	train
46	chr11	66400000	66500000	chr16_rank47_score2.868_reads462	test
47	chr11	76200000	76300000	chr16_rank48_score2.861_reads445	train
48	chr11	61300000	61400000	chr16_rank49_score2.857_reads535	train
49	chr11	2300000	2400000	chr16_rank50_score2.828_reads409	train
50	chr11	45800000	45900000	chr16_rank51_score2.817_reads499	test
51	chr11	64700000	64800000	chr16_rank52_score2.813_reads438	train
52	chr11	6600000	6700000	chr16_rank53_score2.795_reads451	train
53	chr11	3800000	3900000	chr16_rank54_score2.763_reads533	val
54	chr11	61900000	62000000	chr16_rank55_score2.742_reads458	val
55	chr11	69600000	69700000	chr16_rank56_score2.722_reads395	val
56	chr11	61500000	61600000	chr16_rank57_score2.709_reads453	train
57	chr11	57500000	57600000	chr16_rank58_score2.699_reads480	train
58	chr11	72700000	72800000	chr16_rank59_score2.597_reads408	train
59	chr11	47900000	48000000	chr16_rank60_score2.587_reads503	train
60	chr11	47500000	47600000	chr16_rank61_score2.502_reads450	train
61	chr11	63800000	63900000	chr16_rank62_score2.468_reads496	train
62	chr11	1300000	1400000	chr16_rank63_score2.460_reads404	train
63	chr11	8000000	8100000	chr16_rank64_score2.457_reads482	train
64	chr11	68400000	68500000	chr16_rank65_score2.456_reads588	test
65	chr11	27400000	27500000	chr16_rank66_score2.436_reads562	train
66	chr11	1900000	2000000	chr16_rank67_score2.429_reads231	train
67	chr11	2400000	2500000	chr16_rank68_score2.392_reads434	train
68	chr11	2800000	2900000	chr16_rank69_score2.392_reads434	test
69	chr11	600000	700000	chr16_rank70_score2.385_reads433	train
70	chr11	59500000	59600000	chr16_rank71_score2.367_reads527	val
71	chr11	124700000	124800000	chr16_rank72_score2.357_reads429	train
72	chr11	66600000	66700000	chr16_rank73_score2.348_reads465	val
73	chr11	72600000	72700000	chr16_rank74_score2.289_reads444	train
74	chr11	69000000	69100000	chr16_rank75_score2.277_reads475	test
75	chr11	3000000	3100000	chr16_rank76_score2.263_reads416	train
76	chr11	60900000	61000000	chr16_rank77_score2.256_reads415	train
77	chr11	67500000	67600000	chr16_rank78_score2.241_reads413	val
78	chr11	65700000	65800000	chr16_rank79_score2.234_reads436	train
79	chr11	44900000	45000000	chr16_rank80_score2.234_reads412	train
80	chr11	900000	1000000	chr16_rank81_score2.227_reads447	train
81	chr11	47400000	47500000	chr16_rank82_score2.227_reads447	train
82	chr11	57300000	57400000	chr16_rank83_score2.204_reads408	train
83	chr11	119700000	119800000	chr16_rank84_score2.195_reads476	test
84	chr11	77100000	77200000	chr16_rank85_score2.186_reads441	train
85	chr11	57700000	57800000	chr16_rank86_score2.159_reads402	val
86	chr11	73200000	73300000	chr16_rank87_score2.145_reads446	train
87	chr11	70200000	70300000	chr16_rank88_score2.144_reads435	train
88	chr11	130400000	130500000	chr16_rank89_score2.139_reads499	train
