group	task	valid_positions	bce	mse	mae	mean_pred	mean_target	pearson	spearman	auroc	auprc	positive_fraction	auprc_enrichment
chr16_rank10_score3.770_reads393	6mA	565738	0.31920263171195984	0.046244438737630844	0.1413215547800064	0.11003024131059647	0.10105659067630768	0.18522626161575317	0.14504678095601958	0.6668719238939826	0.13498406226950255	0.06903372232376118	1.9553351279022873
chr16_rank12_score3.555_reads441	6mA	962224	0.25111618638038635	0.034656304866075516	0.11589042097330093	0.08833976089954376	0.07254833728075027	0.2207571119070053	0.21763181199224704	0.7097224652014699	0.11084772669509821	0.04895949383927235	2.2640701118969258
chr16_rank13_score3.528_reads360	6mA	862137	0.32983261346817017	0.04494592547416687	0.135133296251297	0.1008552610874176	0.10512937605381012	0.15958060324192047	0.13614926543932448	0.6334673029072838	0.11219034476816939	0.06755190880335724	1.66080199294966
chr16_rank20_score3.106_reads440	6mA	478176	0.316380113363266	0.03800276294350624	0.12580101191997528	0.09795656055212021	0.0992351546883583	0.17591145634651184	0.16858789557113416	0.6542900034502526	0.09958974724279082	0.057263434383992506	1.7391507916722204
chr16_rank28_score2.759_reads388	6mA	470040	0.30345356464385986	0.04503203183412552	0.1327803134918213	0.09533824771642685	0.09363448619842529	0.1567097306251526	0.1463240169609525	0.6442441102828443	0.10308626175959631	0.06517955918645221	1.58157347251626
chr16_rank42_score2.388_reads405	6mA	813932	0.2898804545402527	0.036806944757699966	0.1289774775505066	0.10672766715288162	0.08532297611236572	0.13164637982845306	0.12100808314679118	0.6186729376812858	0.08064281946543321	0.05184708304870677	1.5553974249559002
chr16_rank47_score2.283_reads390	6mA	1039214	0.24390101432800293	0.028263317421078682	0.10914084315299988	0.08889812976121902	0.06788605451583862	0.1875750720500946	0.15490831630604507	0.6954817860981364	0.08928957228443998	0.038097061817873895	2.343739071304135
chr16_rank51_score2.207_reads409	6mA	418188	0.30577823519706726	0.03466205671429634	0.1228080466389656	0.10244244337081909	0.09410707652568817	0.17499428987503052	0.17675740741381074	0.6458358059834994	0.0910836514014843	0.05150554296153883	1.7684242542496829
chr16_rank5_score4.345_reads484	6mA	461532	0.2973006069660187	0.04355009272694588	0.1341049075126648	0.10014131665229797	0.09110202640295029	0.17110097408294678	0.15047299149387924	0.6619173633472127	0.11304758985100793	0.06406923030255757	1.764459933686689
chr16_rank65_score1.965_reads478	6mA	1147790	0.25578534603118896	0.032164331525564194	0.11494584381580353	0.09175959974527359	0.07235556840896606	0.16197891533374786	0.15189294674411963	0.6622089348303073	0.07715863937168867	0.0429651765566872	1.7958413197694523
chr16_rank69_score1.952_reads413	6mA	168961	0.2730131149291992	0.040145959705114365	0.12818866968154907	0.09805988520383835	0.07989508658647537	0.16420350968837738	0.1435860761901201	0.6603428083674117	0.10481145499329247	0.05664620829658915	1.8502819190389395
chr16_rank75_score1.890_reads441	6mA	661199	0.23745299875736237	0.025375034660100937	0.09640397131443024	0.07158885151147842	0.06507924944162369	0.1380704641342163	0.1003964813463624	0.6542495176942817	0.06947950951089558	0.033192730176542916	2.093214663010646
chr16_rank7_score3.907_reads501	6mA	882468	0.29202160239219666	0.04300522804260254	0.12959299981594086	0.0941167101264	0.08842389285564423	0.15939833223819733	0.14590134185769463	0.6395807530282471	0.10789703888346788	0.06237846584805341	1.729716135473616
chr16_rank84_score1.762_reads421	6mA	430808	0.3074606955051422	0.02837955951690674	0.10503855347633362	0.07372548431158066	0.09290750324726105	0.16567324101924896	0.09816617880245566	0.6711857617819397	0.0929374325806602	0.03827691222075728	2.428028469084843
chr16_rank8_score3.838_reads346	6mA	830851	0.29245060682296753	0.04029637202620506	0.1296595335006714	0.10075916349887848	0.08863867074251175	0.17253847420215607	0.14541040234688693	0.6655327319043632	0.10619014384142798	0.05755785333350986	1.8449288444814997
