row_idx	read_id	chrom	alignment_start	alignment_end	read_length	is_reverse	mapq	region_id	region_name	split	sample	sample_id
0	87cf7552-e030-47fc-9118-d0bd8b72c744	chr17	8075121	8102934	27135	False	60	0	chr16_rank1_score5.253_reads554	train	merged_e5b	0
1	bed906be-9cf4-4c03-9b14-70af6e47f002	chr17	8075121	8102932	27851	True	60	0	chr16_rank1_score5.253_reads554	train	merged_e5b	0
2	8cddccf0-ab1d-4f3a-8c17-07d76f47c300	chr17	8076270	8100825	24549	False	60	0	chr16_rank1_score5.253_reads554	train	merged_e5b	0
3	710ce0d5-6cfb-4b5d-bb58-0c2032b56063	chr17	8078838	8100332	21402	False	60	0	chr16_rank1_score5.253_reads554	train	merged_e5b	0
4	c6cb8428-1d45-42ba-aa87-6f3f40ac889a	chr17	8081495	8107001	24540	False	60	0	chr16_rank1_score5.253_reads554	train	merged_e5b	0
5	b1e8b033-4a5c-43d0-9f49-341c2854c171	chr17	8083915	8102531	17727	True	60	0	chr16_rank1_score5.253_reads554	train	merged_e5b	0
6	9fa54996-8692-4d99-804a-2d7bfd012cbd	chr17	8086178	8112692	26419	False	60	0	chr16_rank1_score5.253_reads554	train	merged_e5b	0
7	6cf2ed23-b9f6-4f00-8991-4d8648036e97	chr17	8087028	8100569	13552	True	60	0	chr16_rank1_score5.253_reads554	train	merged_e5b	0
8	5b334696-c85b-42fb-bdb6-b629ee3c46aa	chr17	8088101	8103027	14800	False	60	0	chr16_rank1_score5.253_reads554	train	merged_e5b	0
9	459d37b5-a4ad-4494-bd27-35197326259e	chr17	8088979	8109213	20139	False	60	0	chr16_rank1_score5.253_reads554	train	merged_e5b	0
10	e1bde06b-3dd1-41f4-ba7b-0d8a11a9f517	chr17	8089400	8106225	16803	False	60	0	chr16_rank1_score5.253_reads554	train	merged_e5b	0
11	ac4c9174-854e-4bb3-8ef2-bbe5ec8429d3	chr17	8090123	8101304	11194	False	60	0	chr16_rank1_score5.253_reads554	train	merged_e5b	0
12	92385988-d215-4aa8-8774-2753daf2631e	chr17	8090832	8100535	9696	False	60	0	chr16_rank1_score5.253_reads554	train	merged_e5b	0
13	c929d7a6-f9a4-4444-9a29-dd856190665a	chr17	8090832	8100535	9652	True	60	0	chr16_rank1_score5.253_reads554	train	merged_e5b	0
14	658bd9ba-1c3b-4ae9-81f3-f0196952f6e7	chr17	8090887	8110185	19179	False	60	0	chr16_rank1_score5.253_reads554	train	merged_e5b	0
15	3c31a2c7-cbe8-4283-9d7d-e2cbba7d1072	chr17	8090896	8102802	11952	False	60	0	chr16_rank1_score5.253_reads554	train	merged_e5b	0
16	588cfee2-1a8c-4b5c-8da0-1a694fa54fa7	chr17	8091577	8104639	13021	True	60	0	chr16_rank1_score5.253_reads554	train	merged_e5b	0
17	a67a35bc-918f-48f2-9375-59fdfc28ab78	chr17	8091622	8107119	15456	True	60	0	chr16_rank1_score5.253_reads554	train	merged_e5b	0
18	825e9a25-8b3a-413b-b88a-87a7ab426615	chr17	8092278	8106176	13807	False	60	0	chr16_rank1_score5.253_reads554	train	merged_e5b	0
19	7e5de59b-3c41-49a4-ab9a-7e876ded5c3b	chr17	8092340	8111281	18367	False	60	0	chr16_rank1_score5.253_reads554	train	merged_e5b	0
20	58e11e3a-bae9-45f8-805a-08631c025d22	chr17	8092428	8108332	15800	True	60	0	chr16_rank1_score5.253_reads554	train	merged_e5b	0
21	cb062d17-9d1e-4b45-a0dc-1d5f83a69d71	chr17	8092479	8102157	9394	True	60	0	chr16_rank1_score5.253_reads554	train	merged_e5b	0
22	316e4906-15f9-4f91-a354-103d78eb7a19	chr17	8092971	8107600	14641	True	60	0	chr16_rank1_score5.253_reads554	train	merged_e5b	0
23	ce081b29-57a2-4a7d-a666-a2576a54229f	chr17	8093427	8110645	17140	True	60	0	chr16_rank1_score5.253_reads554	train	merged_e5b	0
24	f9628e5c-9326-4e68-a5eb-46e4dbd266ab	chr17	8093551	8105757	12156	True	60	0	chr16_rank1_score5.253_reads554	train	merged_e5b	0
25	7db2fb08-4bac-485f-9d6e-1682ad3449e4	chr17	8093886	8100604	6360	False	33	0	chr16_rank1_score5.253_reads554	train	merged_e5b	0
26	62972ce9-357f-4f08-bdfd-df3f1363a53f	chr17	8093912	8100060	6153	False	60	0	chr16_rank1_score5.253_reads554	train	merged_e5b	0
27	52fd87d6-e9a2-4877-b161-1f51f66c634b	chr17	8093921	8118795	24765	False	60	0	chr16_rank1_score5.253_reads554	train	merged_e5b	0
28	86fdca51-ff91-44ad-95e5-e066b81f5b9d	chr17	8094530	8107399	12692	True	60	0	chr16_rank1_score5.253_reads554	train	merged_e5b	0
29	037dea3e-5315-4b81-a69d-4c6a68613aeb	chr17	8095113	8102349	7028	True	60	0	chr16_rank1_score5.253_reads554	train	merged_e5b	0
30	023c0a66-9933-4cb5-8977-dbbf6baf07a6	chr17	8096135	8104138	8014	True	60	0	chr16_rank1_score5.253_reads554	train	merged_e5b	0
31	ef37ed30-c572-482b-b8b3-9e3cc68a1cbe	chr17	8096160	8112502	16253	True	60	0	chr16_rank1_score5.253_reads554	train	merged_e5b	0
32	cf1fe33b-a8d1-430a-9882-66cdbbd078b1	chr17	8096245	8109493	12977	False	60	0	chr16_rank1_score5.253_reads554	train	merged_e5b	0
33	d539c85d-e643-4a35-adc1-6c5bf33da46d	chr17	8096571	8101529	4931	False	60	0	chr16_rank1_score5.253_reads554	train	merged_e5b	0
