row_idx	read_id	chrom	alignment_start	alignment_end	read_length	window_start	window_end	window_length	is_reverse	mapq	region_id	region_name	split	sample	sample_id
0	932e659a-5536-4e7e-9fc9-347dac460184	chr16	666649	702804	35259	0	32768	32768	False	60	2	chr16_rank3_score4.722_reads400	train	merged_e5b	0
1	932e659a-5536-4e7e-9fc9-347dac460184	chr16	666649	702804	35259	2491	35259	32768	False	60	2	chr16_rank3_score4.722_reads400	train	merged_e5b	0
2	932e659a-5536-4e7e-9fc9-347dac460184	chr16	666649	702804	35259	16384	35259	18875	False	60	2	chr16_rank3_score4.722_reads400	train	merged_e5b	0
3	932e659a-5536-4e7e-9fc9-347dac460184	chr16	666649	702804	35259	32768	35259	2491	False	60	2	chr16_rank3_score4.722_reads400	train	merged_e5b	0
4	6860bc7f-c3c5-4c5f-8787-ecf9ad958b81	chr16	672867	712580	39765	0	32768	32768	False	60	2	chr16_rank3_score4.722_reads400	train	merged_e5b	0
5	6860bc7f-c3c5-4c5f-8787-ecf9ad958b81	chr16	672867	712580	39765	6997	39765	32768	False	60	2	chr16_rank3_score4.722_reads400	train	merged_e5b	0
6	6860bc7f-c3c5-4c5f-8787-ecf9ad958b81	chr16	672867	712580	39765	16384	39765	23381	False	60	2	chr16_rank3_score4.722_reads400	train	merged_e5b	0
7	6860bc7f-c3c5-4c5f-8787-ecf9ad958b81	chr16	672867	712580	39765	32768	39765	6997	False	60	2	chr16_rank3_score4.722_reads400	train	merged_e5b	0
8	6716f742-d9ed-4c16-a260-4f069a33b9eb	chr16	674356	701614	27315	0	27315	27315	True	60	2	chr16_rank3_score4.722_reads400	train	merged_e5b	0
9	e7a44f2d-9ad8-4eb8-b79c-ec8da25c3341	chr16	674741	701250	26300	0	26300	26300	False	60	2	chr16_rank3_score4.722_reads400	train	merged_e5b	0
10	2071d7fa-385a-4d8b-8c3b-2104c6c575ea	chr16	677004	719511	42561	0	32768	32768	True	60	2	chr16_rank3_score4.722_reads400	train	merged_e5b	0
11	2071d7fa-385a-4d8b-8c3b-2104c6c575ea	chr16	677004	719511	42561	9793	42561	32768	True	60	2	chr16_rank3_score4.722_reads400	train	merged_e5b	0
12	2071d7fa-385a-4d8b-8c3b-2104c6c575ea	chr16	677004	719511	42561	16384	42561	26177	True	60	2	chr16_rank3_score4.722_reads400	train	merged_e5b	0
13	2071d7fa-385a-4d8b-8c3b-2104c6c575ea	chr16	677004	719511	42561	32768	42561	9793	True	60	2	chr16_rank3_score4.722_reads400	train	merged_e5b	0
14	f6c83e53-c0cf-4180-ae10-26e836acb56f	chr16	679849	707023	27554	0	27554	27554	False	60	2	chr16_rank3_score4.722_reads400	train	merged_e5b	0
15	e22751ea-29f9-4297-a203-677e938735cd	chr16	682840	713944	31187	0	31187	31187	True	60	2	chr16_rank3_score4.722_reads400	train	merged_e5b	0
