group	mark	chrom	position_0based	n_reads	target_mean	target_variance	target_std	target_positive_fraction	variance_class	reads_inspected	reads_with_aligned_base_at_locus	reads_deleted_at_locus	reads_with_insertion_near_locus	fraction_locus_matches_reference	fraction_locus_mismatch	fraction_locus_deleted	fraction_insertion_near_locus	fraction_reverse	mean_mapq	median_mapq	mean_nm	median_nm	mean_local_mismatch_rate	median_local_mismatch_rate	mean_local_indel_bases_per_ref_base	median_local_indel_bases_per_ref_base	mean_softclip_fraction	median_softclip_fraction	bam_alignments_fetched
merged_c1	5mC	chr16	76319444	10	0.49921875	0.2696026272243924	0.519232729346285	0.5	high	23	22	1	3	0.2727272727272727	0.7272727272727273	0.043478260869565216	0.13043478260869565	0.4782608695652174	57.56521739130435	60.0	1300.7391304347825	370.0	0.5273716067152469	0.6829268292682927	0.05726405090137858	0.024390243902439025	0.010797717505987835	0.0016494845360824743	23
merged_c1	5mC	chr16	46406864	10	0.498046875	0.2667134602864583	0.5164430852344315	0.5	high	250	244	6	87	0.16923076923076924	0.8307692307692307	0.024	0.348	0.476	51.472	60.0	7634.324	8185.0	0.7020899724537776	0.7317073170731707	0.06526829268292685	0.04878048780487805	0.23388694437915777	0.19185125392650898	250
merged_c1	5mC	chr16	31833458	11	0.4543678977272727	0.2663141424005681	0.5160563364600499	0.4545454545454545	high	24	24	0	4	0.16666666666666666	0.8333333333333334	0.0	0.16666666666666666	0.4583333333333333	60.0	60.0	646.1666666666666	573.0	0.6892989930658416	0.7317073170731707	0.036585365853658534	0.024390243902439025	0.01314380843560555	0.0024041938289456628	24
merged_c1	5mC	chr16	38090169	12	0.5022786458333334	0.2632597720984256	0.5130884642032265	0.5	high	39	39	0	0	0.2972972972972973	0.7027027027027026	0.0	0.0	0.46153846153846156	1.6923076923076923	1.0	537.2564102564103	434.0	0.7084425956377176	0.75	0.008755472170106316	0.0	0.15112798899889004	0.005167027156933429	39
merged_c1	5mC	chr16	37920374	10	0.505859375	0.2632548014322917	0.5130836203118276	0.5	high	19	18	1	2	0.23529411764705882	0.7647058823529411	0.05263157894736842	0.10526315789473684	0.42105263157894735	3.3157894736842106	1.0	1013.4736842105264	1005.0	0.6919456400446358	0.7222222222222222	0.06290115532734275	0.0	0.20202051163083387	0.0035571365051133837	19
merged_c1	5mC	chr16	38249180	11	0.5392400568181818	0.2631053577769886	0.5129379667922708	0.5454545454545454	high	47	47	0	2	0.15	0.85	0.0	0.0425531914893617	0.40425531914893614	1.9574468085106382	1.0	678.8085106382979	577.0	0.5674540731360371	0.6585365853658537	0.010897768552153606	0.0	0.1527127665075701	0.0033295063145809415	47
merged_c1	5mC	chr16	37933762	10	0.501953125	0.2624918619791667	0.5123395963413004	0.5	high	11	10	1	0	0.0	1.0	0.09090909090909091	0.0	0.18181818181818182	2.272727272727273	1.0	1343.3636363636363	1182.0	0.6920731707317074	0.7317073170731707	0.09312638580931264	0.0	0.11143005049779232	0.0020086223789927493	11
merged_c1	5mC	chr16	33075910	10	0.4953125	0.2620986938476562	0.5119557537987597	0.5	high	81	81	0	9	0.4691358024691358	0.5308641975308642	0.0	0.1111111111111111	0.48148148148148145	21.444444444444443	13.0	1532.283950617284	623.0	0.6058966927379591	0.7	0.17585064739536288	0.024390243902439025	0.04238003625422743	0.0021465808034345293	81
merged_c1	5mC	chr16	37224003	10	0.50078125	0.2619800143771701	0.5118398327379086	0.5	high	20	19	1	2	0.375	0.625	0.05	0.1	0.35	2.15	1.0	1012.85	942.0	0.6515009380863039	0.7073170731707317	0.05975609756097561	0.0	0.1727373066313686	0.003161849069614177	20
merged_c1	5mC	chr16	18320636	10	0.49453125	0.2614354451497396	0.5113075837005937	0.5	high	10	10	0	0	0.4	0.6	0.0	0.0	0.6	8.1	3.0	358.2	310.5	0.648780487804878	0.6951219512195121	0.00975609756097561	0.0	0.052286012543135515	0.007449788727776867	10
merged_c1	5mC	chr16	65157406	11	0.4501065340909091	0.2613680752840909	0.5112416994769606	0.4545454545454545	high	26	20	6	5	0.2	0.8	0.23076923076923078	0.19230769230769232	0.4230769230769231	60.0	60.0	1932.923076923077	459.5	0.6688292093051647	0.7013513513513514	0.041275797373358354	0.0	0.002704287190804816	0.0010534136306155383	26
merged_c1	5mC	chr16	37581504	10	0.49921875	0.2612238566080729	0.5111006325647356	0.5	high	10	10	0	0	0.25	0.75	0.0	0.0	0.5	2.4	1.0	579.4	251.0	0.5832727485928706	0.7626641651031896	0.02195121951219512	0.012195121951219513	0.13604928006773767	0.013890282721853053	10
merged_c1	5mC	chr16	59381521	10	0.495703125	0.2609734429253472	0.5108555988979148	0.5	high	16	16	0	3	0.375	0.625	0.0	0.1875	0.625	60.0	60.0	736.1875	558.0	0.6472942979321349	0.6843205574912892	0.04268292682926829	0.012195121951219513	0.007436576462362691	0.0013944864961942139	16
merged_c1	5mC	chr16	82054206	13	0.458984375	0.26080322265625	0.5106889686063818	0.4615384615384615	high	33	32	1	3	0.16129032258064516	0.8387096774193549	0.030303030303030304	0.09090909090909091	0.5151515151515151	60.0	60.0	1262.7272727272727	705.0	0.47989551350527215	0.47058823529411764	0.09534368070953438	0.04878048780487805	0.02824866997991195	0.0012502976899261729	33
merged_c1	5mC	chr16	37003208	10	0.4	0.2606385972764757	0.5105277634727378	0.4	high	68	68	0	1	0.3157894736842105	0.6842105263157895	0.0	0.014705882352941176	0.5735294117647058	2.5588235294117645	1.0	893.8823529411765	707.5	0.611561737364048	0.7073170731707317	0.0025107604017216645	0.0	0.16760041089015001	0.003668173215327349	68
merged_c1	5mC	chr16	34354841	10	0.49453125	0.2605199178059896	0.5104115180969073	0.5	high	11	11	0	1	0.18181818181818182	0.8181818181818181	0.0	0.09090909090909091	0.18181818181818182	1.6363636363636365	2.0	352.45454545454544	244.0	0.635310421286031	0.7804878048780488	0.011086474501108647	0.0	0.0008597430904619425	0.000412796697626419	11
merged_c1	5mC	chr16	36603427	11	0.5442116477272727	0.2603357488458807	0.510231073971275	0.5454545454545454	high	11	11	0	0	0.5	0.5	0.0	0.0	0.5454545454545454	1.4545454545454546	1.0	1232.8181818181818	939.0	0.4403048780487805	0.5795731707317073	0.0022172949002217295	0.0	0.15837081569314096	0.0024000600015000374	11
merged_c1	5mC	chr16	11391478	11	0.5442116477272727	0.2603204900568182	0.5102161209299626	0.5454545454545454	high	38	38	0	1	0.23684210526315788	0.7631578947368421	0.0	0.02631578947368421	0.6052631578947368	60.0	60.0	1008.7105263157895	469.5	0.6062236982333796	0.7317073170731707	0.026957637997432605	0.0	0.018088483700592267	0.0015438900200362665	38
merged_c1	5mC	chr16	18286157	13	0.4634915865384615	0.2602280836838942	0.510125556783714	0.4615384615384615	high	15	15	0	2	0.21428571428571427	0.7857142857142857	0.0	0.13333333333333333	0.4	42.266666666666666	60.0	1378.6666666666667	673.0	0.598297225880666	0.6786585365853659	0.03414634146341464	0.0	0.033391264693429054	0.0010028261464126173	15
