window_id	chrom	start	end	split	mark	target_base	npz_path	known_frac	methylated_frac_known	n_reads_used
chr1:0-1000000	chr1	0	1000000	train	h3k27me3	C	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k27me3_C/h3k27me3_C_labels/chr1_0_1000000.npz	0.266934	0.000139	4443
chr1:1000000-2000000	chr1	1000000	2000000	train	h3k27me3	C	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k27me3_C/h3k27me3_C_labels/chr1_1000000_2000000.npz	0.268081	0.000000	4406
chr1:2000000-3000000	chr1	2000000	3000000	train	h3k27me3	C	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k27me3_C/h3k27me3_C_labels/chr1_2000000_3000000.npz	0.293672	0.000003	4197
chr1:3000000-4000000	chr1	3000000	4000000	train	h3k27me3	C	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k27me3_C/h3k27me3_C_labels/chr1_3000000_4000000.npz	0.254500	0.000000	4293
chr1:4000000-5000000	chr1	4000000	5000000	train	h3k27me3	C	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k27me3_C/h3k27me3_C_labels/chr1_4000000_5000000.npz	0.231420	0.000000	4348
chr1:5000000-6000000	chr1	5000000	6000000	train	h3k27me3	C	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k27me3_C/h3k27me3_C_labels/chr1_5000000_6000000.npz	0.257388	0.000043	4462
chr1:6000000-7000000	chr1	6000000	7000000	train	h3k27me3	C	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k27me3_C/h3k27me3_C_labels/chr1_6000000_7000000.npz	0.230259	0.000004	4615
chr1:7000000-8000000	chr1	7000000	8000000	train	h3k27me3	C	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k27me3_C/h3k27me3_C_labels/chr1_7000000_8000000.npz	0.230575	0.000017	4689
chr1:8000000-9000000	chr1	8000000	9000000	train	h3k27me3	C	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k27me3_C/h3k27me3_C_labels/chr1_8000000_9000000.npz	0.232914	0.000004	4876
chr1:9000000-10000000	chr1	9000000	10000000	train	h3k27me3	C	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k27me3_C/h3k27me3_C_labels/chr1_9000000_10000000.npz	0.222041	0.000288	4643
chr1:10000000-11000000	chr1	10000000	11000000	train	h3k27me3	C	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k27me3_C/h3k27me3_C_labels/chr1_10000000_11000000.npz	0.240476	0.000017	4559
chr1:11000000-12000000	chr1	11000000	12000000	train	h3k27me3	C	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k27me3_C/h3k27me3_C_labels/chr1_11000000_12000000.npz	0.238998	0.000013	4636
