chrom	start	end	score	eligible_reads	a_mean	a_std	a_q95_q05	cpg_mean	cpg_std	cpg_q95_q05
chr17	8100000	8200000	5.25290705009145	554	5.250761017762767	10.909302366651884	25.0	52.31553062749384	44.924299474798325	100.0
chr17	43200000	43300000	4.781546572441039	296	5.181389735042877	12.206573250608223	28.56999969482422	60.77389063345499	44.48533195229678	100.0
chr17	82000000	82100000	4.707821772375657	580	5.940624748146688	11.138948835045253	22.729999542236328	69.94956286820674	41.78706267104231	100.0
chr17	7200000	7300000	3.8402019969315093	561	4.598078357952301	10.448215624931725	20.0	61.23710692053838	43.640347262665465	100.0
chr17	45100000	45200000	3.7101932270431504	635	4.176893230012754	9.317243815985345	18.520000457763672	69.69767328985967	41.71239460821829	100.0
chr17	81300000	81400000	3.5594780797630654	499	4.6426007045155	9.343135727441409	20.0	65.62525844135595	42.372337900244936	100.0
chr17	7800000	7900000	3.538882477974011	535	4.137231878150589	9.834348629355338	19.350000381469727	54.34965056961796	44.73148004498315	100.0
chr17	82200000	82300000	3.4837700848225	562	4.295719239407012	8.874189332965312	18.75	70.26145631074023	40.31263871706414	100.0
chr17	81900000	82000000	3.4817474306462217	530	4.730537353313392	9.432610778166245	19.229999542236328	67.80380576862807	41.06252055163737	100.0
chr17	81800000	81900000	3.44073075070308	552	4.487531241353258	9.252020044475032	18.75	65.18119886216269	42.49008810914114	100.0
chr17	78300000	78400000	3.2917409936269983	611	3.8604219319960027	8.451666079277516	17.389999389648438	62.87757704620244	43.46962363929653	100.0
chr17	38700000	38800000	3.250052270458015	546	4.1497969920335285	9.020792517095877	18.18000030517578	61.451806733114296	45.39212676863643	100.0
chr17	28700000	28800000	3.2253407567778836	576	3.7636648751228847	9.311315162680211	17.649999618530273	62.456109801866894	44.8782349401981	100.0
chr17	4900000	5000000	3.198726539305283	513	4.1127383382291445	9.574925908709101	18.520000457763672	63.58080814886717	44.261799325602084	100.0
chr17	7300000	7400000	3.0986921179338847	574	3.9852524159971563	9.147177483009967	17.239999771118164	64.18463699438216	42.38792029340165	100.0
chr17	81500000	81600000	2.963271909899084	581	3.8802456306174036	7.593840252337146	16.670000076293945	69.52975816971154	42.0145970857972	100.0
