chrom	start	end	score	eligible_reads	a_mean	a_std	a_q95_q05	cpg_mean	cpg_std	cpg_q95_q05
chr19	1200000	1300000	4.617853101379717	285	7.300226197858061	14.045619769004396	33.33000183105469	55.28670586953616	45.49256220152696	100.0
chr19	42200000	42300000	3.6247278216405334	849	5.638425544244544	11.155102818602039	23.329999923706055	58.526002876665444	45.044386508867426	100.0
chr19	12700000	12800000	3.119720410398079	258	5.144854134486891	12.037049686547391	26.670000076293945	60.31544153734619	45.685912025128765	100.0
chr19	1800000	1900000	3.0181859441094687	330	5.11369544024642	11.990726955133141	25.0	70.54484903028973	41.86684495983245	100.0
chr19	55300000	55400000	2.7881355647076527	624	4.886476969173879	9.633097628444645	20.829999923706055	66.93200106706655	41.418138717815715	100.0
chr19	500000	600000	2.7848442172407344	262	5.1778284159141235	11.091501316852694	25.0	71.21059761011055	41.27591691111915	100.0
chr19	1400000	1500000	2.753500055425779	254	5.085521756954079	11.431175999162866	25.0	70.0934037996766	41.36255484206545	100.0
chr19	1000000	1100000	2.7293397103620145	248	5.118705299503174	10.859652700624641	25.0	73.36792798255641	39.835283156837214	100.0
chr19	1100000	1200000	2.712907180318042	244	5.2101566407023645	11.254940251221162	25.0	75.77692048131601	38.403209829899794	100.0
chr19	55600000	55700000	2.6028849592919423	535	4.775529765215447	10.430217512011644	20.690000534057617	67.49519348594191	42.28771035767047	100.0
chr19	45400000	45500000	2.511562974882629	564	4.411733035617463	9.659191770916198	20.0	53.82956397728095	44.16511895129325	100.0
chr19	2000000	2100000	2.394184428090152	317	4.479587768518302	11.011758733708259	22.219999313354492	73.66363693633447	40.243791571310204	100.0
chr19	35700000	35800000	2.3612252565648997	892	4.457124949553272	9.392970170763459	17.06999969482422	69.53953660598786	40.61692035531494	100.0
chr19	39400000	39500000	2.3486486988404334	881	4.234226006548453	8.696150343970348	17.06999969482422	65.23538770004157	42.683272234741224	100.0
chr19	54100000	54200000	2.2632603935174354	505	4.6963284825107605	10.879140830534292	19.350000381469727	70.3465816998172	41.53122225886556	100.0
chr19	49800000	49900000	2.159740400913333	581	4.363574238606234	9.607690862491047	18.18000030517578	70.24719512633571	40.743437551489066	100.0
chr19	38300000	38400000	2.1502028842740604	902	4.1033372392743885	9.009732742013533	16.010499954223736	66.22971946913938	40.97844677222858	100.0
chr19	900000	1000000	2.126090141270076	310	4.273824154266	9.491794770064958	21.049999237060547	73.59122344533793	39.53127912943812	100.0
chr19	600000	700000	2.1212439534672547	242	4.685254268268473	10.600288731479024	22.219999313354492	75.32715064061297	39.203547560791435	100.0
chr19	13800000	13900000	2.1044022962351683	238	4.247686937828916	10.160136776691996	22.219999313354492	64.43306833921629	43.94236047984863	100.0
chr19	13100000	13200000	2.024086490120743	259	4.313542334832198	10.497221364000646	21.43000030517578	65.60519744298126	44.359044674076635	100.0
chr19	46700000	46800000	1.9659747400271068	583	3.978874266457596	8.45597515317673	17.239999771118164	74.01750693666122	39.38788266550471	100.0
chr19	49600000	49700000	1.9329182120769803	635	4.13544088675514	9.68999698583157	16.670000076293945	76.19597491461445	38.57288800692987	100.0
chr19	55400000	55500000	1.9165152327478134	510	4.173987398647575	8.847286655690304	17.649999618530273	62.11426730363022	40.98200254769049	100.0
chr19	3500000	3600000	1.9155028671018046	313	4.082273433487681	9.824826946482554	20.0	74.38552979015958	39.51194481428979	100.0
chr19	8300000	8400000	1.9057618013746929	310	4.0371260723575215	10.000067109781398	20.0	65.80386529457411	43.333749494325936	100.0
chr19	45600000	45700000	1.900497353384857	615	3.9573071927694503	9.094579371688862	16.670000076293945	70.68793915024575	39.51949887906573	100.0
chr19	45700000	45800000	1.8670063081720372	595	3.896792547135762	9.139059277898504	16.670000076293945	68.98549293522942	41.662981713398885	100.0
chr19	700000	800000	1.8487230791652713	293	4.294887249360013	9.499600191874169	20.0	74.09973139764199	39.54911779213185	100.0
chr19	38600000	38700000	1.8454796842073113	798	3.5836570765489557	7.3460253339051595	15.149999618530273	69.78095858567916	39.54257227958668	100.0
chr19	2400000	2500000	1.7882860536686018	276	4.141373049039438	9.826380803097715	20.0	69.40913037877061	42.866516435153514	100.0
chr19	4000000	4100000	1.7846162972140287	275	4.0056922355316695	9.813309926923608	20.0	77.16980066702287	37.9572019696049	100.0
chr19	800000	900000	1.780933220380153	274	3.99202579773128	9.29386090602434	20.0	79.72732996018217	34.77921648290233	100.0
chr19	58500000	58600000	1.7792269560024117	399	4.211776413127552	9.826150145886649	18.18000030517578	60.469281440483776	43.558945766748955	100.0
chr19	18200000	18300000	1.7433479400751275	264	4.114075750820614	10.072265218739973	20.0	57.4481893276304	44.474915265580094	100.0
